,0,1,2
163,"hai aces, memasuki periode november 2018 ace hardware siap manjakan anda dengan promo spektakuler smart ways for living big.   berikut adalah 5 produk utama yang hematnya paling berasa selama periode promo kali ini: https://t.co/prv2n2jyy4 https://t.co/ejrqpgb7ye",ACEIndonesia,1
164,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50%  https://t.co/kvxyo7js53",detikfood,1
165,"@dstynptr the ordinary  gue kepo grhr keracunan dibilang bagus semua huhu. duh mayan itu diskon shae, gue nungguin diskon lg deh  baru beli concealer. hemat duit beb uang sebulan ",nadiakhairani,0
166,"@memey140500 iyaa, lagi diskon",autumnrain_shop,0
167,"untuk mengawali bulan november ini, cobain paket bakso tulang iga dari @basomoomoo, yuk! bayar pakai yukk cash dan nikmati diskon di baso moo moo sebesar 10% + reward 15% yang bisa kamu pakai di pembelian selanjutnya. #yukkpakeyukk #doubleserunya https://t.co/mul9xjzqac",yukk_id,1
168,@iffanjudo why not? menurut gw sih lagi diskon. fa nya kinclong kok. ya kalo mereka berdua sih harus bow ya bukan buy diatas baru berasa okenya,jesswjk,0
169,"semalem kepikiran pengen beli primer. tau tau paginya buka shopee ada diskon 60% primer maybelline yg kumau. kata mamah, yg begini aja tuh bisa disebut rejeki:') pas pengen, pas lagi murah, dan kebagian:')))",agithapepe,1
170,@frhaina_ hahahah tulah dia tak perasan kot 17 hb  eee untung ah centu kalau sebulan dapat diskon! bestnyeee,azirahzulkifli,0
171,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% https://t.co/vzstg6xpwp https://t.co/khxu9esibw",foodball33,1
172,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% https://t.co/rl7cjrwvjx https://t.co/r0mja133ma",SayaSukaMasak,1
173,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% https://t.co/mguxh7zp1q https://t.co/jwt6jmrkmw",redyvine,1
174,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% https://t.co/8qz4ws6ja4 https://t.co/ngmdxofivm",lezatbergizi,1
175,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% https://t.co/nfdsmjhnbb -- https://t.co/ied3e8lduu",fbrdn,1
176,"lewat aplikasi ini, bisa reservasi restoran plus dapat diskon 50% - detikcom (siaran pers) https://t.co/adnbabkhxn",FineCuisineSmg,1
177,dapatkan tambahan diskon hingga 10% khusus bagi pemegang @kartukreditbca dan debit bca di home &amp; fashion bazaar perennials bandung hingga 4 nov 2018. fasilitas cicilan bca 0% hingga 12 bulan khusus untuk transaksi dengan kartu kredit bca. #bcalifestyle https://t.co/pdsrgtfn8l,KartuKreditBCA,1
178,@tchallabae diskon kahh???,ZKDLIN88kai,0
179,"cardholders, sudah waktunya mengganti springbed? jangan lupa datang ke dap fair di senayan city yah. cardholders bisa menikmati diskon hingga 70% + 10%* + cashback 500 ribu dengan #mandiricard loh https://t.co/h8iyogjvcb https://t.co/kjkrshkyih",mandiricard,1
180,harga gledek 1 hari lagi! nikmati diskon tiket pesawat hingga 50% tanpa kode promo. samber tiketmu sekarang hanya di aplikasi https://t.co/at2ggfp6wa https://t.co/txzuqbc6ix #tiketkemanapun https://t.co/v9b8jrjjyr,tiket,1
181,dibuka prapesan!  mencari bali yang berubah karya : i ngurah suryawan harga : rp70.000 diskon : 25% hingga 15 november tebal : 276 hlmn jenis : etnografi whatsapp : 0813-1632-0671 https://t.co/odoyyq9gno,basabasi_store,1
182,@vindayp diskon akhir tahun dong,sighatullah,0
183,cobaan apa ini pilih yg (sedang diskon 50 persen apa beli yg 'itu' ntar tgl 11 *menangos* plis semoga cukup dah kl perlu ada sisa,boo_tato,0
184,"@izonechoiyena ngga kok, cuma lagi diskon aja.",ddeulguom,0
185,@womanfeeds shinzui.. sering diskon di alfa indo wkwk,migumiguya,0
186,"kampanye 11.11 ini akan berlangsung 10 hari mulai hari ini, kamis (1/10/2018) hingga 11 november mendatang. https://t.co/vkvrrb9gq3",kompascom,0
187,"starbucks promo diskon 50% untuk pembelian minuman holiday special*, menggunakan starbucks tumbler / mug dan kartu kredit bca | lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/p3dax4eka4",katalogpromosi,1
188,#repost hushpuppiesid          calm your day with the blue chow chow oxford.  keren kan buruan ke store yang di park23 lantai 1 disini bnyk bgt diskon nya .  #hushpuppies https://t.co/fpbrdnwo41,Park23Bali,1
189,#rt @generasimilenia: diskon dan bonus goda pembeli smartphone di indocomtech 2018 https://t.co/syq18qsdew,infoinfokeren,0
190,#jalanjalangratis #ngilanginstres #ngilanginstres tiket pesawat murah diskon klik https://t.co/xaalcmxf2u,TiketPesawatPro,1
191,"@husen_jafar @na_dirs ilmu dan diskon fungsinya beda bib.   tanya ma emak2 klo gak percaya, pilih diskon opo ilmu?",_Sai_ful,0
192,@syikapn tltsn lagi diskon ya de? masi banyak ga model flatshoesnya?,pristiaudiaa,0
193,diskon 40% dari harga normal,IkigawaLee,0
194,"@_sai_ful @na_dirs aku sudah ngasih ilmu, masa ngasih diskon jg? ",Husen_Jafar,0
195,"kemarin sebelum ke maiyah, sempet nonton ini juga, dapat diskon lewat gotix. seneng akutu. https://t.co/evnphubo1q",ShadaHanin,1
196,cukup dengan membawa minimal 2 orang pendamping kamu bisa merasakan promo brithday suprise loh! untuk pendamping harga weekday 60.000 &amp; weekend 87.500 (harga sudah di diskon 50%). syarat dan ketentuan berlaku. https://t.co/a15ogx1jkk,ancoltmnimpian,1
197,@zefanyaruth @ohmybeautybank legging airism enak banget yatuhaann beli pas lagi diskon di uniqlo pula bahagia,deenoora,0
198,2 bioglass 4jt dapet diskon 300rb dapet lagi gratis kalung aura.. mau?,sellyriantica,1
199,@womanfeeds wahh yg bener diskon?,fitriindaahp,0
200,masuk bulan november banyak email dan sms ngasih promo dan diskon. nyuruh belanja banget ,thirteeniaa,0
